task_text,prompt,answer_num,task_type,unknown,gigachat_completion
"Из двух разных городов, расстояние между которыми 282 км, в одинаковом направлении одновременно выехали два автобуса. Первый ехал со скоростью 19 км/ч, второй со скоростью 66 км/ч, через сколько часов первый догонит второго? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",6,1,time,3
"В первый день путешественники прошли 21 км, а во второй на 6 км больше чем в первый. Сколько километров прошли путешественники за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",48,4,time,27
"Из двух разных посёлков, расстояние между которыми 161 км, в одинаковом направлении одновременно выехали два автобуса. Первый ехал со скоростью 18 км/ч, второй со скоростью 41 км/ч, через сколько часов первый догонит второго? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",7,1,time,3
"В первый день кладоискатели прошли 26 км, а во второй на 8 км больше чем в первый. Сколько километров прошли кладоискатели за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",60,4,first_speed,34
"Из двух разных городов в одинаковом направлении одновременно выехали два автомобиля. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 33 км/ч, второй ехал со скоростью 53 км/ч и они встретились через 6 часов? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",120,1,distance,167
"В первый день туристы прошли 21 км, а во второй на 5 км больше чем в первый. Сколько километров прошли туристы за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",47,4,distance,26
"В первый день путешественники прошли 24 км, а во второй на 12 км больше чем в первый. Сколько километров прошли путешественники за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",60,4,time,36
"Из одного пункта отправления в противоположном направлении одновременно выехали два грузовика. На каком расстоянии друг от друга они окажутся через 5 часов если первый ехал со скоростью 50 км/ч, а второй ехал со скоростью 45 км/ч? ","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",475,2,distance,150
"В первый день путешественники прошли 22 км, а во второй на 13 км меньше чем в первый. Сколько километров прошли путешественники за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",31,4,first_speed,35
"В первый день исследователи прошли 26 км, а во второй на 8 км больше чем в первый. Сколько километров прошли исследователи за два дня?","Дана математическая задача: {}. Реши её и верни ответ одним целым числом, без самого решения.",60,4,time,34
