task_text,answer_num,gigachat_completion
"Из одного пункта отправления в противоположном направлении одновременно выехали два грузовика. Первый ехал со скоростью 43 км/ч, второй со скоростью 23 км/ч, через сколько часов они окажутся на расстоянии 330 друг от друга? ",5,"Из одного куста в противоположном направлении одновременно вылетели два жука. Первый летел со скоростью 43 м/минуту, второй со скоростью 23 м/минуту, через сколько минут они окажутся на расстоянии 330 друг от друга?"
"Из двух разных пунктов отправления навстречу друг другу одновременно выехали два автомобиля. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 57 км/ч, второй ехал со скоростью 35 км/ч и они встретились через 3 часов? ",276,"Из двух разных пунктов отправления навстречу друг другу одновременно вылетели два жука. Первый жук летел со скоростью 57 м/минуту, второй жук летел со скоростью 35 м/минуту, и они встретились через 3 часа. Какое расстояние было между ними перед началом движения?"
"Из одного города в противоположном направлении одновременно выехали два мотоцикла. С какой скоростью ехал первый, если второй ехал со скоростью 94 км/ч и через 3 часов они оказались на расстоянии 489 друг от друга? ",69,"Из одного болота в противоположном направлении одновременно вылетели два шмеля. С какой скоростью летел первый, если второй летел со скоростью 94 м/минуту и через 3 минуты они оказались на расстоянии 489 друг от друга?"
"Из двух разных пунктов отправления, расстояние между которыми 155 км, в одинаковом направлении одновременно выехали два грузовика. С какой скоростью ехал первый, если второй ехал со скоростью 61 км/ч и они встретились через 5 часов? ",30,"Из двух разных пунктов отправления, расстояние между которыми 155 метров, в одинаковом направлении одновременно выехали два жука. С какой скоростью ехал первый, если второй ехал со скоростью 61 метр в минуту и они встретились через 5 минут?"
"Из двух разных городов, расстояние между которыми 981 км, навстречу друг другу одновременно выехали два автобуса. Первый ехал со скоростью 23 км/ч, второй со скоростью 86 км/ч, через сколько часов они встретятся? ",9,"Из двух разных полей, расстояние между которыми 981 метр, навстречу друг другу одновременно выбежали два муравья. Первый бежал со скоростью 23 см/секунду, второй со скоростью 86 см/секунду, через сколько секунд они встретятся?"
"Из одного села в противоположном направлении одновременно выехали два автобуса. С какой скоростью ехал первый, если второй ехал со скоростью 67 км/ч и через 5 часов они оказались на расстоянии 790 друг от друга? ",91,"Из опушки в противоположном направлении одновременно вылетели два жука. С какой скоростью летел первый, если второй летел со скоростью 67 м/минуту и через 5 минут они оказались на расстоянии 790 друг от друга?"
"Из двух разных пунктов отправления, расстояние между которыми 123 км, в одинаковом направлении одновременно выехали два автобуса. С какой скоростью ехал первый, если второй ехал со скоростью 76 км/ч и они встретились через 3 часов? ",35,"Из двух разных пунктов отправления, расстояние между которыми 123 метра, в одинаковом направлении одновременно вылетели два жука. С какой скоростью летел первый, если второй летел со скоростью 76 метров в минуту и они встретились через 3 минуты?"
"Из двух разных деревень в одинаковом направлении одновременно выехали два мотоцикла. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 30 км/ч, второй ехал со скоростью 63 км/ч и они встретились через 6 часов? ",198,"Из двух разных пещер в одном направлении одновременно вылетели два жука. Какое расстояние было между ними перед началом полета, если первый летел со скоростью 30 м/минуту, второй летел со скоростью 63 м/минуту и они встретились через 6 минут?"
"Из двух разных посёлков в одинаковом направлении одновременно выехали два мотоцикла. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 13 км/ч, второй ехал со скоростью 39 км/ч и они встретились через 5 часов? ",130,"Из двух разных опушек в одинаковом направлении одновременно вылетели два клопа. Какое расстояние было между ними перед началом движения, если первый полз со скоростью 13 см/минуту, второй полз со скоростью 39 см/минуту и они встретились через 5 минут?"
"Из двух разных деревень в одинаковом направлении одновременно выехали два автобуса. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 17 км/ч, второй ехал со скоростью 49 км/ч и они встретились через 8 часов? ",256,"Из двух разных опушек в одинаковом направлении одновременно выпрыгнули два кузнечика. Какое расстояние было между ними перед началом прыжков, если первый прыгал со скоростью 17 м/скачок, второй прыгал со скоростью 49 м/скачок и они встретились через 8 скачков?"
"Из одного пункта отправления в противоположном направлении одновременно выехали два автобуса. С какой скоростью ехал первый, если второй ехал со скоростью 25 км/ч и через 1 часов они оказались на расстоянии 98 друг от друга? ",73,"Из одной точки в противоположном направлении одновременно вылетели два жука. С какой скоростью летел первый, если второй летел со скоростью 25 м/минуту и через 1 час они оказались на расстоянии 98 друг от друга?"
