task_text,answer_num,gigachat_completion
"Из одного пункта отправления в противоположном направлении одновременно выехали два грузовика. Первый ехал со скоростью 43 км/ч, второй со скоростью 23 км/ч, через сколько часов они окажутся на расстоянии 330 друг от друга? ",5,"Из одной точки в противоположном направлении одновременно вышли два оленя. Первый бежал со скоростью 43 метра в минуту, второй - со скоростью 23 метра в минуту, через сколько минут они окажутся на расстоянии 330 метров друг от друга?"
"Из двух разных пунктов отправления навстречу друг другу одновременно выехали два автомобиля. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 57 км/ч, второй ехал со скоростью 35 км/ч и они встретились через 3 часов? ",276,"Из двух разных пещер навстречу друг другу одновременно выбежали две лисы. Какое расстояние было между ними перед началом движения, если одна бежала со скоростью 57 м/мин, а вторая - со скоростью 35 м/мин и они встретились через 3 минуты?"
"Из одного города в противоположном направлении одновременно выехали два мотоцикла. С какой скоростью ехал первый, если второй ехал со скоростью 94 км/ч и через 3 часов они оказались на расстоянии 489 друг от друга? ",69,"Из одной горы в противоположном направлении одновременно выехали два коня. С какой скоростью ехал первый, если второй ехал со скоростью 94 м/минуту и через 3 минуты они оказались на расстоянии 489 метров друг от друга?"
"Из двух разных пунктов отправления, расстояние между которыми 155 км, в одинаковом направлении одновременно выехали два грузовика. С какой скоростью ехал первый, если второй ехал со скоростью 61 км/ч и они встретились через 5 часов? ",30,"Из двух разных пунктов отправления, расстояние между которыми 155 км, в одинаковом направлении одновременно выехали два грузовика. С какой скоростью ехал первый, если второй ехал со скоростью 61 км/ч и они встретились через 5 часов?"
"Из двух разных городов, расстояние между которыми 981 км, навстречу друг другу одновременно выехали два автобуса. Первый ехал со скоростью 23 км/ч, второй со скоростью 86 км/ч, через сколько часов они встретятся? ",9,"Из двух разных лесов, расстояние между которыми 981 метр, навстречу друг другу одновременно вышли два зайца. Первый бежал со скоростью 23 метра в минуту, второй со скоростью 86 метров в минуту, через сколько минут они встретятся?"
"Из одного села в противоположном направлении одновременно выехали два автобуса. С какой скоростью ехал первый, если второй ехал со скоростью 67 км/ч и через 5 часов они оказались на расстоянии 790 друг от друга? ",91,"Из одной опушки в противоположном направлении одновременно вышли два оленя. С какой скоростью ехал первый, если второй ехал со скоростью 67 м/минуту и через 5 минут они оказались на расстоянии 790 метров друг от друга?"
"Из двух разных пунктов отправления, расстояние между которыми 123 км, в одинаковом направлении одновременно выехали два автобуса. С какой скоростью ехал первый, если второй ехал со скоростью 76 км/ч и они встретились через 3 часов? ",35,"Из двух разных пунктов отправления, расстояние между которыми 123 км, в одинаковом направлении одновременно выехали два зайца. С какой скоростью ехал первый, если второй ехал со скоростью 76 м/минуту и они встретились через 3 минуты?"
"Из двух разных деревень в одинаковом направлении одновременно выехали два мотоцикла. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 30 км/ч, второй ехал со скоростью 63 км/ч и они встретились через 6 часов? ",198,"Из двух разных лесов в одинаковом направлении одновременно вышли два лося. Какое расстояние было между ними перед началом движения, если первый шел со скоростью 30 м/мин, второй шел со скоростью 63 м/мин и они встретились через 6 минут?"
"Из двух разных посёлков в одинаковом направлении одновременно выехали два мотоцикла. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 13 км/ч, второй ехал со скоростью 39 км/ч и они встретились через 5 часов? ",130,"Из двух разных лесов в одинаковом направлении одновременно вышли два оленя. Какое расстояние было между ними перед началом движения, если первый бежал со скоростью 13 м/мин, второй бежал со скоростью 39 м/мин и они встретились через 5 минут?"
"Из двух разных деревень в одинаковом направлении одновременно выехали два автобуса. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 17 км/ч, второй ехал со скоростью 49 км/ч и они встретились через 8 часов? ",256,"Из двух разных лесов в одинаковом направлении одновременно вышли два оленя. Какое расстояние было между ними перед началом движения, если первый бежал со скоростью 17 м/мин, второй бежал со скоростью 49 м/мин и они встретились через 8 минут?"
