task_text,answer_num,gigachat_completion
"Из одного пункта отправления в противоположном направлении одновременно выехали два грузовика. Первый ехал со скоростью 43 км/ч, второй со скоростью 23 км/ч, через сколько часов они окажутся на расстоянии 330 друг от друга? ",5,"Однажды два тигра отправились в путешествие из болота. Один из них ехал со скоростью 43 км/ч, а другой - со скоростью 23 км/ч. Через сколько часов они окажутся на расстоянии 330 друг от друга?"
"Из двух разных пунктов отправления навстречу друг другу одновременно выехали два автомобиля. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 57 км/ч, второй ехал со скоростью 35 км/ч и они встретились через 3 часов? ",276,"Из двух разных пунктов отправления навстречу друг другу одновременно выехали два автомобиля. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 57 км/ч, второй ехал со скоростью 35 км/ч и они встретились через 3 часов?"
"Из одного города в противоположном направлении одновременно выехали два мотоцикла. С какой скоростью ехал первый, если второй ехал со скоростью 94 км/ч и через 3 часов они оказались на расстоянии 489 друг от друга? ",69,"Однажды два мотоциклиста отправились в путешествие из разных городов. Один из них ехал со скоростью 94 километра в час, а другой, не зная этого, ехал со скоростью 94 километра в час в противоположном направлении. Через три часа они обнаружили, что находятся на расстоянии 489 километров друг от друга. Какую скорость развил первый мотоциклист?"
"Из двух разных пунктов отправления, расстояние между которыми 155 км, в одинаковом направлении одновременно выехали два грузовика. С какой скоростью ехал первый, если второй ехал со скоростью 61 км/ч и они встретились через 5 часов? ",30,"Жила-была лошадка по имени Пегас, которая любила кататься на горе. Однажды она решила отправиться в путешествие и посетить два разных пункта отправления, расстояние между которыми составляло 155 километров. Пегас решила ехать с горы со скоростью 61 километр в час. Но вот незадача, в это же время с горы отправился еще один путешественник, который ехал со скоростью 61 километр в час. Через 5 часов они встретились. С какой скоростью ехал первый путешественник?"
"Из двух разных городов, расстояние между которыми 981 км, навстречу друг другу одновременно выехали два автобуса. Первый ехал со скоростью 23 км/ч, второй со скоростью 86 км/ч, через сколько часов они встретятся? ",9,"Однажды два зайца решили отправиться на прогулку с разных концов опушки. Расстояние между их домами составляло 981 метр. В то же время, с противоположных сторон опушки, навстречу друг другу, отправились два автобуса. Первый автобус ехал со скоростью 23 метра в час, а второй - со скоростью 86 метров в час. Через сколько часов зайцы встретятся на середине опушки?"
"Из одного села в противоположном направлении одновременно выехали два автобуса. С какой скоростью ехал первый, если второй ехал со скоростью 67 км/ч и через 5 часов они оказались на расстоянии 790 друг от друга? ",91,"Лиса быстро бежала по горе, когда увидела два автобуса, которые выехали из разных сел одновременно. Один автобус ехал со скоростью 67 км/ч, а второй — со скоростью 79 км/ч. Через 5 часов они оказались на расстоянии 790 метров друг от друга. С какой скоростью ехал первый автобус?"
"Из двух разных пунктов отправления, расстояние между которыми 123 км, в одинаковом направлении одновременно выехали два автобуса. С какой скоростью ехал первый, если второй ехал со скоростью 76 км/ч и они встретились через 3 часов? ",35,"Лиса, которая жила в пещере, однажды задумалась о том, как быстро она может бегать. Она решила проверить свою скорость, отправившись из одного конца пещеры в другой. Расстояние между двумя точками в пещере составляло 123 метра. В то же время, из другого конца пещеры в её сторону отправился её друг, крот. Он двигался со скоростью 76 метров в час. Через 3 часа они встретились. С какой скоростью бежала лиса?"
"Из двух разных деревень в одинаковом направлении одновременно выехали два мотоцикла. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 30 км/ч, второй ехал со скоростью 63 км/ч и они встретились через 6 часов? ",198,"Из двух разных пещер в одинаковом направлении одновременно выехали два мотоцикла. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 30 км/ч, второй ехал со скоростью 63 км/ч и они встретились через 6 часов?"
"Из двух разных посёлков в одинаковом направлении одновременно выехали два мотоцикла. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 13 км/ч, второй ехал со скоростью 39 км/ч и они встретились через 5 часов? ",130,"Из двух разных посёлков в одинаковом направлении одновременно выехали рысь и мотоцикл. Какое расстояние было между ними перед началом движения, если рысь ехала со скоростью 13 км/ч, а мотоцикл ехал со скоростью 39 км/ч и они встретились через 5 часов?"
"Из двух разных деревень в одинаковом направлении одновременно выехали два автобуса. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 17 км/ч, второй ехал со скоростью 49 км/ч и они встретились через 8 часов? ",256,"Из двух разных пещер в одинаковом направлении одновременно выехали два лося. Какое расстояние было между ними перед началом движения, если первый ехал со скоростью 17 м/с, второй ехал со скоростью 49 м/с и они встретились через 8 секунд?"
